ID	slope	threeP	fiveP
GSM249714	4.7653510575005	7.25938883031831	7.57078860108522
GSM249715	3.42232830374106	7.36605255818911	7.59096647305568
GSM249716	4.52907819528199	7.10378038314976	7.36292368011094
GSM249717	5.83861588383654	7.06833705900793	7.4516055475524
GSM249718	5.0154443552502	7.40696916437611	7.75184131706367
GSM249719	3.91549626243179	7.48261061881946	7.71111811538889
GSM249720	3.15379299755807	7.21429011737899	7.39269538816914
GSM249721	4.72955363296914	7.31190580493078	7.62031473887948
GSM249722	4.60960891107001	8.00467718449427	8.30825783471732
GSM249723	4.48049396829404	6.80570954828346	7.08234819754894
GSM249724	4.80722912637783	7.05203719902678	7.36885611885822
GSM249725	3.83234749499658	7.387815116033	7.61434448107325
GSM249726	3.87507851137214	7.29462202511396	7.50445932728093
GSM249727	5.91687018824867	6.61572910394479	7.02340716654724
GSM249728	4.68402342275642	6.82833348716289	7.14024766886463
GSM249729	3.97083865149154	7.2817995205321	7.52281191156245
GSM249730	3.84637996857546	7.44962516019429	7.68941608081074
GSM249731	4.17608874205105	6.67290618372526	6.91405212302959
GSM249732	4.61218168123164	7.42793488198421	7.72204991265167
GSM249733	3.78189811340261	7.39598899940171	7.62006976012606
GSM249734	3.87818175241346	7.27500749340254	7.5037023852106
GSM249735	4.33720661021927	7.30830086737129	7.58342885070637
GSM249736	3.38162117803133	7.65177449833579	7.85923315865924
GSM249737	3.70791459678924	7.16829966491439	7.39505520759081
GSM249738	3.25936718797104	7.58805770836511	7.77881634875415
GSM249739	3.29736423855715	7.4265901471647	7.64009149876488
GSM249740	4.48153798547737	7.05853819307065	7.34437576018719
GSM249741	3.33552486363317	7.50228483109383	7.69993108610606
GSM249742	4.19047147319309	6.83949764390188	7.106029055394
GSM249743	3.12449577188076	7.46789785661728	7.66607749224544
GSM249744	3.92551549685945	7.53806089836381	7.80193426746344
GSM249745	3.32280236317115	7.50841598640416	7.71629857131718
GSM249746	4.37876288982925	7.294481244206	7.5574523895723
GSM249747	3.60787836839107	7.5561260227445	7.78469151175846
GSM249748	3.90433595096297	7.6668006429052	7.91935002636704
GSM249749	3.64686544474633	7.30249169535368	7.52011442522753
GSM249750	3.59583064512372	7.55828521609357	7.79681700910076
GSM249751	3.21734143691641	7.18836956206903	7.36405711246135
GSM249752	4.28090208052673	7.43687889288281	7.71899721503887
GSM249753	4.40393028017831	7.04303652533116	7.31712889400336
GSM249754	3.76148489680467	7.18943165711305	7.42957295373288
GSM249755	5.19025629837632	7.18193864961108	7.52277511095294
GSM249756	4.51354422129377	6.75519105786468	7.03461291974327
GSM249757	4.23047409813348	8.08358717970806	8.36339923547237
GSM249758	3.67040125389083	7.06462800189324	7.30407070402747
GSM249759	3.64430693813081	6.89814362046315	7.13409390620253
GSM249760	4.47970439435147	7.36779897736137	7.63489064523282
GSM249761	5.2245442835428	6.7381421429892	7.0766649791882
GSM249762	4.38481606912538	7.2937479827971	7.57916299937996
GSM249763	5.05973935151135	6.93480649380137	7.24651701581798
GSM249764	4.8183942485726	6.87879501546922	7.19335208822386
GSM249765	2.96244147375369	7.32939742484457	7.50042410572865
GSM249766	3.47915523681023	7.36931883134349	7.56012246344619
GSM249767	4.59476909535717	6.74792534575497	7.05400540834242
GSM249768	4.37510515928871	7.15794559044962	7.41082924677023
GSM249769	3.67289704085477	7.22966564149681	7.45683068067567
GSM249770	2.70588303660934	7.48186773933185	7.63291032046673
GSM249771	3.61251977541454	7.21699410272689	7.43162577730404
GSM249773	2.84446027254108	7.38031645526724	7.53496157356216
GSM249774	5.05873295672465	7.00640644955801	7.36330990781684
GSM249775	3.35960781384315	7.06531661187022	7.24018958750209
GSM249776	3.70699934178212	7.48278576037184	7.69623783018174
GSM249777	3.97964169949907	7.10995628972908	7.35340495519488
GSM249778	5.16898046147194	7.06182647444581	7.39411656291265
GSM249779	4.70208792889017	7.14552419446995	7.44366871382171
GSM249780	4.47729001824788	7.45814275793769	7.76887215454212
GSM249781	3.70041470561876	7.5553600444579	7.77684496271374
GSM249782	4.60746717049546	7.06777431836454	7.35784232860689
GSM249783	4.28175052751752	6.8440880353359	7.10042434463094
GSM249784	5.42162578793278	6.85037969709155	7.22786524791772
GSM249785	3.58237989058657	8.11783503364988	8.33208089801547
GSM249786	3.02737553308244	6.92267809961953	7.10213036240112
GSM249788	3.51059816447253	7.23832099254011	7.46351210890802
GSM249789	4.28985228917644	7.11488694955035	7.40282805005403
GSM249790	2.93551176330332	7.25289201430959	7.43589313177026
GSM249791	3.34074969706168	7.03504118817759	7.2139027723167
GSM249792	3.4596371020121	7.67141665738863	7.87993788137358
GSM249793	3.44794764945458	7.70597725535243	7.94172761741243
GSM249794	3.24558146739659	7.38642448617405	7.58779221371838
GSM249795	4.37440867018788	6.88524871536506	7.17198064616068
GSM249796	4.93535707990433	7.03248760321043	7.3451372986152
GSM249797	3.65325831868991	7.38490372217799	7.59707230987451
GSM249798	5.12892762409026	6.93571845202291	7.25318019009406
GSM249799	2.69734917424104	7.61825201994122	7.77251264532052
GSM249800	4.45769978127422	7.36018187910677	7.65160901142222
GSM249801	4.29766983302919	7.32540884127822	7.61069624692957
GSM249802	2.29051258935599	8.83991573768416	8.92952513053587
GSM249803	3.61900952629435	7.69667709548993	7.94246008370345
GSM249804	3.10739893536704	7.50630019954377	7.68078361220569
GSM249805	4.58442079741325	7.24028017050315	7.5565758425925
GSM249806	4.66924119759146	7.04597989592776	7.33605147033125
GSM249807	4.74333352635447	7.27891282772228	7.60477685704408
GSM249808	3.98276842892268	6.88636388256303	7.12431398432556
GSM249809	4.12248156468778	7.30115481589544	7.56770364050396
GSM249810	4.07631070032554	7.68030381831603	7.95947073628403
GSM249811	4.63123577005532	7.78144678985912	8.10249730398099
GSM249812	3.97839507056273	6.76165836021811	6.9955865380928
GSM249813	3.65143336521066	6.94462028329114	7.17192163311059
GSM249814	4.94364581431008	7.05255682286197	7.36454476529867
GSM249815	3.49152907103441	7.64250491874515	7.87019179773576
GSM249816	4.42001140747883	7.81782818490462	8.09681284536811
GSM249817	4.52763107283521	7.13853301789114	7.43332958049904
GSM249818	3.70771263145203	7.93909446413705	8.17791246497286
GSM249819	4.05926564925094	7.33438197267963	7.58862947435836
